step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.737684250814889,0,0.0,0.923681904553488,0,0.0
10.0,0,0.0,0.0,12.023430498935959,0,0.0,0.8791376253603932,0,0.0
15.0,4,7.0,0.3888888888888889,5.425781372520178,4,7.0,0.37259039784057496,4,7.0
20.0,10,49.0,2.7222222222222223,5.497963382279721,10,49.0,0.3275465820028569,10,49.0
25.0,6,60.0,2.727272727272727,4.792716303568535,6,73.0,0.27365522249160995,6,73.0
30.0,8,95.0,4.318181818181818,6.920541216053019,8,95.0,0.38920630111371196,8,95.0
35.0,7,87.0,3.3461538461538463,6.401480363513668,7,98.0,0.3016750576511239,7,98.0
40.0,10,134.0,4.785714285714286,7.529220139098756,10,134.0,0.43165522129684,10,134.0
45.0,8,126.0,4.2,7.043492573409504,8,159.0,0.44097128357207216,8,159.0
50.0,7,144.0,4.8,7.417507725362057,7,153.0,0.37560406032179644,7,153.0
55.0,8,31.0,1.0333333333333334,6.247823338421492,8,124.0,0.31501598396558533,8,124.0
60.0,10,65.0,2.6,6.279761125769455,10,82.0,0.3059143169635807,10,82.0
65.0,8,52.0,1.7333333333333334,6.499787381845346,8,92.0,0.30037234266482205,8,92.0
70.0,4,56.0,2.074074074074074,8.59975845382481,4,76.0,0.4406958851796494,4,76.0
75.0,2,2.0,0.058823529411764705,9.013021681008318,2,32.0,0.5753604394449732,2,32.0
80.0,6,22.0,0.7333333333333333,9.173806776454654,6,28.0,0.5559003080925723,6,28.0
85.0,4,12.0,0.375,6.270646572351319,4,38.0,0.3642298295238997,4,38.0
90.0,8,29.0,1.0,7.607345577240355,8,34.0,0.374594767620031,8,34.0
95.0,8,52.0,1.7333333333333334,7.038949502350483,8,57.0,0.3752835180164953,8,57.0
100.0,14,109.0,3.892857142857143,5.439102315116048,14,114.0,0.25447239395003207,14,114.0
