step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.371997396191027,0,0.0,0.9418032898331821,0,0.0
10.0,0,0.0,0.0,12.220538437813781,0,0.0,0.868529090361056,0,0.0
15.0,4,7.0,0.3888888888888889,7.22856593457746,4,7.0,0.4426933837081481,4,7.0
20.0,8,44.0,2.588235294117647,6.997003406063533,8,44.0,0.40309422785560217,8,44.0
25.0,12,88.0,4.190476190476191,4.384029740391331,12,88.0,0.24126003995630485,12,88.0
30.0,14,156.0,7.8,3.8830244091504214,14,156.0,0.2677088526062083,14,156.0
35.0,17,231.0,9.625,2.283194663252718,17,231.0,0.16958730733311037,17,231.0
40.0,14,220.0,7.333333333333333,4.406437330299757,14,274.0,0.3155991414168438,14,274.0
45.0,10,245.0,7.205882352941177,6.374763863314721,10,272.0,0.38500345524587687,10,272.0
50.0,14,305.0,8.472222222222221,5.328050445584352,14,318.0,0.243225843792886,14,318.0
55.0,20,398.0,11.371428571428572,3.456893261542747,20,411.0,0.19314061668916435,20,411.0
60.0,27,518.0,16.1875,1.4437519801422742,27,531.0,0.11134462227411333,27,531.0
65.0,23,586.0,15.421052631578947,2.711676992627893,23,624.0,0.174459845218791,23,624.0
70.0,18,644.0,16.94736842105263,3.1482169756319944,18,686.0,0.11843358216097044,18,686.0
75.0,23,747.0,14.94,5.148920897271974,23,789.0,0.2855494135774548,23,789.0
80.0,30,882.0,19.17391304347826,3.4164085609769628,30,924.0,0.22148480004737614,30,924.0
85.0,32,986.0,19.72,2.0964218129142536,32,1045.0,0.15007000361455863,32,1045.0
90.0,28,1085.0,21.7,3.4788024484618294,28,1125.0,0.1560093924999197,28,1125.0
95.0,27,1208.0,22.37037037037037,3.842111493988639,27,1248.0,0.16064436701863408,27,1248.0
100.0,36,1370.0,26.346153846153847,2.869561144569678,36,1410.0,0.11752324047679162,36,1410.0
105.0,36,1514.0,29.115384615384617,1.7175632635944706,36,1564.0,0.0836089889011104,36,1564.0
110.0,30,1636.0,29.214285714285715,4.118024626696709,30,1684.0,0.2241111170153678,30,1684.0
115.0,32,1788.0,30.82758620689655,3.559965187254197,32,1836.0,0.16515677944240018,32,1836.0
120.0,42,1972.0,35.214285714285715,1.4722457037843009,42,2020.0,0.06918871817974091,42,2020.0
125.0,44,2150.0,37.06896551724138,1.2439470413518803,44,2210.0,0.07826878621879245,44,2210.0
130.0,40,2312.0,38.53333333333333,2.3099427967919373,40,2374.0,0.0883857797850594,40,2374.0
135.0,34,1837.0,28.703125,2.872907888879256,34,2320.0,0.12585718872442173,34,2320.0
