step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.50518532682959,0,0.0,0.9345320210612327,0,0.0
10.0,0,0.0,0.0,11.948412939948037,0,0.0,0.8999884288469887,0,0.0
15.0,3,6.0,0.3333333333333333,7.057507346599432,3,6.0,0.45311027769558415,3,6.0
20.0,5,25.0,1.3888888888888888,6.8999120743131135,5,29.0,0.433486841496499,5,29.0
25.0,6,53.0,2.3043478260869565,7.238256531945007,6,53.0,0.4007159921042862,6,53.0
30.0,6,70.0,3.3333333333333335,7.112040779216237,6,75.0,0.411652218349966,6,75.0
35.0,6,100.0,4.545454545454546,7.75933885168142,6,100.0,0.3966240220874032,6,100.0
40.0,7,92.0,3.4074074074074074,9.125730346254452,7,92.0,0.5379782359244887,7,92.0
45.0,8,128.0,4.7407407407407405,6.976749027017492,8,128.0,0.3873027546701175,8,128.0
50.0,14,189.0,7.56,4.285264875094137,14,189.0,0.2548745659490585,14,189.0
55.0,12,217.0,8.037037037037036,3.4718537601223396,12,239.0,0.23827131811622682,12,239.0
60.0,12,277.0,10.25925925925926,5.0642084247432555,12,277.0,0.227741825312371,12,277.0
65.0,10,110.0,3.3333333333333335,5.506017965235795,10,242.0,0.27196802794986324,10,242.0
70.0,11,106.0,3.6551724137931036,5.890773782717301,11,156.0,0.2730140576220162,11,156.0
75.0,9,113.0,2.8974358974358974,6.475150124226794,9,189.0,0.3729895793192228,9,189.0
80.0,10,147.0,4.083333333333333,7.933717699453737,10,202.0,0.4582256217941463,10,202.0
85.0,9,62.0,1.5897435897435896,6.360544100697481,9,180.0,0.33846270850942034,9,180.0
90.0,15,124.0,3.5428571428571427,6.057928277103636,15,178.0,0.25691730323728956,15,178.0
95.0,13,166.0,4.742857142857143,4.7928071438211735,13,236.0,0.20559993072859045,13,236.0
100.0,14,233.0,6.852941176470588,6.106706160741032,14,286.0,0.2925043693288961,14,286.0
105.0,13,135.0,3.857142857142857,4.977887826111799,13,258.0,0.23336263681387953,13,258.0
110.0,13,124.0,3.4444444444444446,6.529873991610723,13,194.0,0.37469556035311247,13,194.0
115.0,13,189.0,5.108108108108108,7.205564281127181,13,194.0,0.3425969195786523,13,194.0
120.0,15,213.0,6.085714285714285,5.405520452466099,15,216.0,0.21566382101362225,15,216.0
125.0,18,297.0,8.485714285714286,5.249542370755543,18,300.0,0.16494566424669924,18,300.0
130.0,15,239.0,7.242424242424242,5.017454368642358,15,335.0,0.2153479487539437,15,335.0
135.0,7,136.0,4.387096774193548,4.959476230246439,7,288.0,0.2519003676586339,7,288.0
140.0,6,153.0,4.78125,7.44691529244483,6,210.0,0.3528243335744661,6,210.0
145.0,6,69.0,1.9166666666666667,7.429665966079295,6,126.0,0.4171796503107999,6,126.0
150.0,13,126.0,3.6,5.859766878318381,13,183.0,0.3703390309363333,13,183.0
155.0,13,156.0,4.7272727272727275,3.6946698050882634,13,220.0,0.21516239551290264,13,220.0
160.0,14,171.0,4.621621621621622,4.944901914639994,14,223.0,0.2565257571387746,14,223.0
165.0,11,58.0,1.5675675675675675,3.825716869077772,11,206.0,0.12982781908263819,11,206.0
170.0,14,102.0,2.6153846153846154,4.922825850106539,14,171.0,0.23955050786118764,14,171.0
175.0,17,135.0,3.6486486486486487,3.3290934474162017,17,220.0,0.09315632012994321,17,220.0
180.0,13,160.0,4.2105263157894735,4.814944459803486,13,240.0,0.20286996907015928,13,240.0
185.0,12,207.0,5.048780487804878,6.870260418051643,12,252.0,0.31906981541143925,12,252.0
190.0,10,145.0,3.5365853658536586,6.448252677391567,10,247.0,0.340393110573376,10,247.0
195.0,17,216.0,5.684210526315789,5.091322525267922,17,261.0,0.16802277249637074,17,261.0
200.0,19,268.0,6.871794871794871,5.2704406244279465,19,330.0,0.19385458561254693,19,330.0
205.0,12,293.0,8.371428571428572,4.99601714136771,12,361.0,0.1990330886000674,12,361.0
210.0,8,155.0,4.1891891891891895,6.346249105277567,8,311.0,0.3166560413162185,8,311.0
215.0,9,140.0,4.516129032258065,5.33309399634368,9,229.0,0.23500361300445968,9,229.0
220.0,11,146.0,3.5609756097560976,6.567524542439062,11,217.0,0.3703940529784338,11,217.0
225.0,6,152.0,4.108108108108108,7.347171568789735,6,211.0,0.39849642864138163,6,211.0
230.0,9,53.0,1.358974358974359,5.617573058634641,9,112.0,0.3006587299924266,9,112.0
235.0,20,133.0,3.911764705882353,3.665548607836106,20,192.0,0.16491320248537486,20,192.0
240.0,22,181.0,4.891891891891892,3.1142178163246355,22,262.0,0.12137437114502085,22,262.0
245.0,15,207.0,5.75,4.629331420150472,15,295.0,0.20134367945064027,15,295.0
250.0,7,96.0,2.4615384615384617,5.459739947445505,7,264.0,0.25440226606205324,7,264.0
255.0,13,123.0,3.075,5.7814037882775935,13,210.0,0.28493008035553447,13,210.0
260.0,13,142.0,3.380952380952381,5.8431099180290405,13,225.0,0.299840984945961,13,225.0
265.0,8,148.0,3.6097560975609757,6.010857748164881,8,212.0,0.2665549178379705,8,212.0
270.0,8,37.0,0.925,6.099183706391838,8,169.0,0.2982923605467163,8,169.0
275.0,10,71.0,2.088235294117647,5.276935163906496,10,134.0,0.2242808329233199,10,134.0
280.0,13,98.0,2.5789473684210527,5.081185051958966,13,160.0,0.22365791691561338,13,160.0
285.0,10,118.0,3.5757575757575757,5.209424899949337,10,170.0,0.2301872617781275,10,170.0
290.0,9,150.0,3.658536585365854,7.971246628835284,9,171.0,0.4535579340367234,9,171.0
295.0,4,32.0,0.7804878048780488,7.926330501429435,4,139.0,0.4987056358338243,4,139.0
300.0,6,43.0,1.2285714285714286,5.5210037602288375,6,76.0,0.27343581613453183,6,76.0
305.0,15,68.0,1.837837837837838,5.006232193623939,15,118.0,0.21492977506209007,15,118.0
310.0,11,100.0,2.857142857142857,4.7683882707803535,11,152.0,0.18989129429297694,11,152.0
315.0,12,126.0,3.4054054054054053,5.287327781157005,12,185.0,0.26546786286847907,12,185.0
320.0,17,200.0,5.882352941176471,4.280801036260347,17,239.0,0.17856767915625382,17,239.0
325.0,17,233.0,5.9743589743589745,5.156498083798308,17,298.0,0.2683389141465786,17,298.0
330.0,11,232.0,6.105263157894737,5.77493681123658,11,311.0,0.2742633013748228,11,311.0
335.0,10,273.0,7.0,7.6600150803623155,10,307.0,0.37542572569149546,10,307.0
340.0,11,122.0,3.388888888888889,5.468115875248964,11,261.0,0.23683768316063802,11,261.0
345.0,14,167.0,4.771428571428571,5.668470143937307,14,209.0,0.24783888941647414,14,209.0
350.0,16,198.0,5.6571428571428575,4.534643090095393,16,251.0,0.11846375761188757,16,251.0
355.0,10,218.0,6.055555555555555,6.477479955538062,10,261.0,0.2820548067171998,10,261.0
360.0,5,129.0,4.161290322580645,5.225715583656674,5,235.0,0.19811694786061107,5,235.0
365.0,10,164.0,4.205128205128205,7.444000974244165,10,210.0,0.4084343757576096,10,210.0
370.0,11,185.0,5.138888888888889,6.253662470235313,11,244.0,0.33020506955399503,11,244.0
375.0,10,189.0,4.973684210526316,6.027724207928126,10,243.0,0.2916965378495316,10,243.0
380.0,10,81.0,2.3142857142857145,5.964502447698888,10,127.0,0.24600341582886567,10,127.0
385.0,16,144.0,4.114285714285714,4.550321513740865,16,183.0,0.2116491441711328,16,183.0
390.0,16,192.0,5.818181818181818,3.6663422151607064,16,244.0,0.16481250393480706,16,244.0
395.0,11,221.0,6.5,5.030408339093721,11,266.0,0.24198348612866616,11,266.0
400.0,10,129.0,3.3076923076923075,5.682186268267227,10,236.0,0.30889994556831335,10,236.0
405.0,15,193.0,4.948717948717949,5.837776514605827,15,229.0,0.3080194413201634,15,229.0
410.0,17,231.0,6.078947368421052,3.9219977720179346,17,282.0,0.17028790574855843,17,282.0
415.0,15,259.0,7.0,4.576006434645668,15,314.0,0.23717534640518906,15,314.0
420.0,11,86.0,2.324324324324324,3.9517469715017204,11,280.0,0.14230114377471675,11,280.0
425.0,12,89.0,2.282051282051282,5.502674675282212,12,200.0,0.27237779552994745,12,200.0
430.0,15,114.0,3.0,4.333153819419946,15,218.0,0.1322767223845205,15,218.0
435.0,13,126.0,2.8,6.39054894214592,13,219.0,0.36973571414255946,13,219.0
440.0,7,58.0,1.380952380952381,6.890375457632795,7,198.0,0.404298851187265,7,198.0
445.0,13,114.0,2.7142857142857144,5.417494376559495,13,203.0,0.29913209642985494,13,203.0
450.0,19,156.0,3.9,3.8653614042551254,19,257.0,0.1572529974553317,19,257.0
455.0,14,197.0,4.925,4.129352967607419,14,280.0,0.17015698156362521,14,280.0
460.0,11,93.0,2.325,4.6365595021852,11,266.0,0.2164176492068583,11,266.0
465.0,13,107.0,2.7435897435897436,4.667877414862559,13,210.0,0.24017752914200252,13,210.0
470.0,15,129.0,2.9318181818181817,4.718668351090417,15,249.0,0.2398116177365796,15,249.0
475.0,14,150.0,3.5714285714285716,5.681340259158118,14,257.0,0.29492909786617605,14,257.0
480.0,10,189.0,4.5,5.811373530559908,10,271.0,0.24612413223409213,10,271.0
485.0,11,168.0,4.0,5.5084122805563895,11,272.0,0.28657765173868915,11,272.0
490.0,15,225.0,5.921052631578948,4.758776901763447,15,275.0,0.22858540482143164,15,275.0
495.0,15,265.0,6.625,4.1858836249565226,15,325.0,0.16212730015680782,15,325.0
500.0,13,298.0,7.641025641025641,5.615170676545143,13,353.0,0.257490168248077,13,353.0
505.0,8,173.0,4.219512195121951,5.714094773598052,8,318.0,0.3110607502016466,8,318.0
510.0,15,211.0,4.906976744186046,6.340446257608845,15,281.0,0.3641450421317423,15,281.0
515.0,17,226.0,5.65,3.929634853893448,17,326.0,0.19941197327962443,17,326.0
520.0,24,332.0,7.72093023255814,3.7156059323180965,24,399.0,0.17256293829919603,24,399.0
525.0,23,358.0,8.731707317073171,3.1958182521165446,23,476.0,0.09386521180669635,23,476.0
530.0,16,304.0,7.069767441860465,4.662363186526867,16,488.0,0.20567242885690232,16,488.0
535.0,13,303.0,7.575,4.146543439261276,13,536.0,0.15196439859472294,13,536.0
540.0,16,364.0,9.1,3.5315494422465266,16,603.0,0.1274943937979393,16,603.0
545.0,16,409.0,9.511627906976743,3.99277983704344,16,635.0,0.21733134798456777,16,635.0
550.0,14,442.0,9.822222222222223,5.350709604528388,14,596.0,0.282947747398002,14,596.0
555.0,10,199.0,4.4222222222222225,4.361566056317159,10,423.0,0.17673952553908587,10,423.0
560.0,18,276.0,6.2727272727272725,4.239040977140727,18,434.0,0.19110042441428826,18,434.0
565.0,17,329.0,7.651162790697675,2.8709445282195656,17,477.0,0.12279250524772001,17,477.0
570.0,15,376.0,8.355555555555556,4.643102677312566,15,462.0,0.2070099786080236,15,462.0
575.0,8,129.0,3.0,4.159068511350539,8,368.0,0.15911874967606038,8,368.0
580.0,13,114.0,2.235294117647059,6.406347746980464,13,234.0,0.3672976301019234,13,234.0
585.0,21,200.0,4.25531914893617,4.928548681419263,21,254.0,0.22276438958992217,21,254.0
590.0,25,244.0,4.979591836734694,3.6830208803288693,25,324.0,0.16893887623800782,25,324.0
595.0,24,272.0,6.181818181818182,3.097889416499545,24,380.0,0.11507280713282146,24,380.0
600.0,18,307.0,6.395833333333333,5.067780647671486,18,413.0,0.16355670693795177,18,413.0
605.0,12,144.0,3.2,4.442300662789087,12,388.0,0.20294652171566985,12,388.0
610.0,12,144.0,3.130434782608696,5.2251314205753365,12,312.0,0.2303658555753727,12,312.0
615.0,14,173.0,3.6041666666666665,4.402842813564447,14,329.0,0.19698641139756906,14,329.0
620.0,14,209.0,4.446808510638298,5.4638343589042915,14,343.0,0.2931862275833692,14,343.0
625.0,11,125.0,2.6595744680851063,3.80758844247811,11,338.0,0.1585637545748405,11,338.0
630.0,18,202.0,4.297872340425532,4.623119405175112,18,351.0,0.2258746308193411,18,351.0
635.0,21,257.0,5.711111111111111,2.854583634769443,21,414.0,0.08504347949700738,21,414.0
640.0,22,299.0,6.5,4.092494318678311,22,444.0,0.1978293529082323,22,444.0
645.0,16,351.0,7.8,5.140618717585327,16,456.0,0.16291552294611658,16,456.0
650.0,10,209.0,4.098039215686274,6.412639822080215,10,424.0,0.36096619430820975,10,424.0
655.0,11,204.0,4.434782608695652,6.1913235411287175,11,346.0,0.3737691987987532,11,346.0
660.0,14,231.0,4.914893617021277,3.8481497707489423,14,382.0,0.16531185291595019,14,382.0
665.0,22,287.0,6.1063829787234045,3.7872514674871964,22,421.0,0.14235525879529148,22,421.0
670.0,16,182.0,3.872340425531915,4.205233725522348,16,350.0,0.18227173442072184,16,350.0
675.0,23,279.0,5.9361702127659575,3.508381736629489,23,432.0,0.1405309241226145,23,432.0
680.0,23,354.0,7.695652173913044,2.8467156340225195,23,516.0,0.12660751640347764,23,516.0
685.0,21,410.0,8.541666666666666,3.621593855555453,21,553.0,0.1843367954315601,21,553.0
690.0,15,310.0,6.2,4.130354594095071,15,553.0,0.1967878825482086,15,553.0
695.0,14,291.0,5.938775510204081,4.036021450733484,14,488.0,0.21540394671843316,14,488.0
700.0,19,333.0,6.66,2.846542140891019,19,506.0,0.10069892954914286,19,506.0
