step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.307638412673043,0,0.0,0.8679536133688841,0,0.0
10.0,0,0.0,0.0,12.129504365833972,0,0.0,0.8588720288321351,0,0.0
15.0,4,8.0,0.4444444444444444,7.648834622775185,4,8.0,0.4333414764307181,4,8.0
20.0,6,28.0,1.5555555555555556,8.031562488672447,6,28.0,0.484876268094776,6,28.0
25.0,6,58.0,2.9,6.84120488787958,6,58.0,0.361000994542803,6,58.0
30.0,6,49.0,2.45,7.076197941173615,6,69.0,0.3802813585357319,6,69.0
35.0,7,82.0,3.727272727272727,6.347303451625055,7,82.0,0.3040419397225477,7,82.0
40.0,6,68.0,2.6153846153846154,7.384211140353151,6,101.0,0.4747142278786283,6,101.0
45.0,4,79.0,3.0384615384615383,8.418770528815172,4,88.0,0.5408157141247014,4,88.0
50.0,8,104.0,3.7142857142857144,8.892426257658801,8,104.0,0.420328583441417,8,104.0
55.0,5,101.0,3.740740740740741,7.921148495425497,5,109.0,0.4557167084705662,5,109.0
60.0,10,142.0,6.173913043478261,6.998459775882383,10,142.0,0.24662901685050784,10,142.0
65.0,7,136.0,5.230769230769231,6.451203105392967,7,158.0,0.3189344809973159,7,158.0
70.0,10,181.0,8.227272727272727,6.673744135469762,10,181.0,0.34445111206716106,10,181.0
75.0,5,141.0,4.40625,7.1621140976774065,5,189.0,0.4628854020198598,5,189.0
80.0,4,144.0,5.142857142857143,9.174834646616235,4,164.0,0.6263419386772631,4,164.0
85.0,5,165.0,4.852941176470588,8.224577674711512,5,165.0,0.45758828493014964,5,165.0
90.0,10,177.0,5.9,6.4235477686558795,10,182.0,0.3027836909628357,10,182.0
95.0,12,236.0,8.137931034482758,5.944386978121109,12,236.0,0.2810766718750616,12,236.0
100.0,10,258.0,9.214285714285714,5.918988019876371,10,277.0,0.2954228557140968,10,277.0
105.0,8,294.0,10.137931034482758,7.841155984202912,8,298.0,0.43326304072040134,8,298.0
