step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.561039320650986,0,0.0,0.9011496157970607,0,0.0
10.0,0,0.0,0.0,11.936326245796252,0,0.0,0.865337203417563,0,0.0
15.0,4,7.0,0.3888888888888889,6.179592397412938,4,7.0,0.37782905714396153,4,7.0
20.0,9,48.0,2.6666666666666665,6.257943486364812,9,48.0,0.3543465919084927,9,48.0
25.0,6,54.0,2.4545454545454546,5.148135454771145,6,69.0,0.3131774441190829,6,69.0
30.0,11,104.0,4.9523809523809526,5.957414857596731,11,104.0,0.3127536997061158,11,104.0
35.0,12,162.0,6.48,4.251939640921397,12,162.0,0.18307674851230082,12,162.0
40.0,17,242.0,8.962962962962964,4.040588470465083,17,242.0,0.29206421032945623,17,242.0
45.0,21,333.0,10.741935483870968,3.7744616759153065,21,333.0,0.2694430266581284,21,333.0
50.0,23,443.0,13.424242424242424,1.805534498002695,23,443.0,0.13532217428391932,23,443.0
55.0,31,583.0,15.756756756756756,1.952986817365918,31,583.0,0.14286719291773245,31,583.0
60.0,25,501.0,13.54054054054054,0.8958478895941585,25,642.0,0.046483162025094914,25,642.0
65.0,21,381.0,8.86046511627907,4.31472700172077,21,613.0,0.21868464124636636,21,613.0
70.0,10,140.0,3.255813953488372,3.64229976829811,10,555.0,0.11793768051110802,10,555.0
75.0,12,126.0,2.4705882352941178,6.2645510890481475,12,435.0,0.35254312603203003,12,435.0
80.0,17,101.0,2.1041666666666665,5.064636225337503,17,459.0,0.2503728257069308,17,459.0
85.0,26,216.0,4.32,4.560174357827435,26,525.0,0.17166846207805134,26,525.0
90.0,31,369.0,7.851063829787234,3.2185735736297674,31,678.0,0.0677353623610402,31,678.0
95.0,36,537.0,11.673913043478262,2.5414921279805363,36,846.0,0.08454484256623125,36,846.0
100.0,33,542.0,12.044444444444444,1.6102213907234832,33,903.0,0.06231096432616623,33,903.0
105.0,25,434.0,9.434782608695652,2.9977677321886014,25,843.0,0.1243669804134598,25,843.0
110.0,17,173.0,3.2641509433962264,3.9527052210864553,17,855.0,0.19669957798439866,17,855.0
115.0,11,51.0,1.02,4.8591602193639005,11,804.0,0.2516040541884083,11,804.0
120.0,15,93.0,1.8979591836734695,4.754045769762984,15,802.0,0.16449773096689746,15,802.0
125.0,21,184.0,3.68,3.397512739049298,21,893.0,0.10885726062321865,21,893.0
130.0,29,311.0,6.760869565217392,2.4940573604196725,29,1023.0,0.05394933578910266,29,1023.0
135.0,31,322.0,6.851063829787234,2.0809597339857833,31,1040.0,0.06488468970361759,31,1040.0
140.0,25,264.0,6.0,3.3828332345527583,25,939.0,0.12137282743514724,25,939.0
145.0,14,178.0,3.63265306122449,5.170864699484375,14,900.0,0.25748418582892935,14,900.0
150.0,11,77.0,1.6382978723404256,5.627582905969101,11,951.0,0.2883374044495785,11,951.0
155.0,13,71.0,1.6511627906976745,4.745336673525014,13,1007.0,0.2526382935557107,13,1007.0
160.0,22,161.0,3.577777777777778,2.698406348114612,22,1097.0,0.10126181297024943,22,1097.0
165.0,26,276.0,6.133333333333334,1.8641371297890468,26,1213.0,0.06315866383431905,26,1213.0
170.0,33,430.0,9.347826086956522,1.7015425421386308,33,1369.0,0.04706086683605986,33,1369.0
175.0,40,618.0,13.434782608695652,1.6766013726582671,40,1559.0,0.047139864037307,40,1559.0
180.0,40,818.0,19.023255813953487,0.43935969855707335,40,1759.0,0.013169459036069808,40,1759.0
185.0,40,1018.0,21.208333333333332,1.9050998845678067,40,1959.0,0.12198413213071975,40,1959.0
190.0,40,1218.0,25.375,2.17103681616616,40,2159.0,0.118036335594993,40,2159.0
195.0,35,1133.0,22.66,1.7714133800690266,35,2160.0,0.05910289178008426,35,2160.0
200.0,29,856.0,17.833333333333332,3.213394650740755,29,1878.0,0.09943236546700893,29,1878.0
205.0,20,554.0,11.306122448979592,3.940785986467728,20,1817.0,0.13772536753271847,20,1817.0
210.0,19,339.0,7.533333333333333,3.2205117494980375,19,1922.0,0.13352570863410362,19,1922.0
215.0,16,154.0,3.7560975609756095,2.429136327674395,16,1979.0,0.12495095974356615,16,1979.0
220.0,22,254.0,4.980392156862745,3.848826526681698,22,2071.0,0.21195203694830955,22,2071.0
225.0,24,259.0,4.886792452830188,3.708226084081649,24,2131.0,0.18368691670362502,24,2131.0
230.0,33,405.0,7.6415094339622645,2.901001452349643,33,2224.0,0.08240930740065984,33,2224.0
